id,name,age,city
1,Gautam_1,52,Providence
2,Amit_2,44,Boston
3,David_3,52,Buffalo
4,Helen_4,55,Austin
5,Helen_5,27,Hartford
6,Tapas_6,44,Buffalo
7,Amit_7,54,Providence
8,Grace_8,51,Columbus
9,Rupa_9,60,Chicago
10,Alice_10,42,Chicago
11,Deb_11,33,Boston
12,Tapas_12,30,Jersey City
13,Habu_13,44,Providence
14,Gautam_14,54,San Francisco
15,Charlie_15,49,Pittsburgh
16,Amit_16,52,Indianapolis
17,Bob_17,48,Seattle
18,Helen_18,21,Austin
19,Sara_19,22,Providence
20,Tapas_20,59,Boston
21,Grace_21,34,Boston
22,Alice_22,50,Indianapolis
23,Tapas_23,53,Newyark
24,Deb_24,21,Boston
25,Sara_25,38,Albany
26,Monica_26,30,San Francisco
27,Alice_27,37,Newyark
28,Grace_28,51,Chicago
29,Sara_29,24,Chicago
30,Helen_30,35,Philadelphia
