id,name,age,city
1,Grace_1,50,Pittsburgh
2,Naryan_2,38,Chicago
3,Gautam_3,39,Buffalo
4,Naryan_4,59,Hartford
5,David_5,55,Albany
6,Eva_6,41,Columbus
7,Eva_7,59,Columbus
8,Frank_8,57,Buffalo
9,Tapas_9,34,Dallas
10,Gautam_10,60,Philadelphia
11,Naryan_11,54,Huston
12,Subhas_12,42,Providence
13,Gautam_13,52,Providence
14,Naryan_14,37,Buffalo
15,Gautam_15,34,Chicago
16,Rupa_16,50,Huston
17,Helen_17,30,San Francisco
18,Alice_18,57,New York
19,Naryan_19,30,Pittsburgh
20,Gautam_20,20,Dallas
21,Deb_21,56,Newyark
22,Sara_22,22,Pittsburgh
23,Amit_23,51,Los Angeles
24,Habu_24,50,San Francisco
25,Subhas_25,34,Chicago
26,Tapas_26,32,Boston
27,Frank_27,54,Columbus
28,Subhas_28,34,Chicago
29,Gautam_29,54,San Francisco
30,Madhu_30,60,Philadelphia
